Years,Education,count(capitalgains),sum(capitalgains),sum(capitalloss)
6,10th,726,22391779,45027
7,11th,757,20454213,40327
8,12th,293,7098386,9077
2,1st-4th,166,4340501,551416
3,5th-6th,321,7044365,22728
4,7th-8th,627,15691573,130118
5,9th,463,8186744,11467
12,Assoc-acdm,1052,23932935,1035684
11,Assoc-voc,1369,31100304,1476739
13,Bachelors,5323,120214160,6560564
16,Doctorate,80,1679982,122372
9,HS-grad,9838,223588768,715367
2,Masters,11,1412387,1603449
13,Masters,11,2019967,1524158
14,Masters,1687,50652868,2834611
16,Masters,11,2014176,1469808
1,Preschool,49,1265044,3391
15,Prof-school,576,18767500,689928
10,Some-college,6430,145176681,490105
