Native,avg(capitalgains),avg(capitalloss)
India,97599.5243,90189.4078
China,76560.0530,73165.5455
Holand-Netherlands,59798.2500,92069.5000
Haiti,54181.5581,9073.7442
Yugoslavia,50889.3889,20095.4444
Outlying-US(Guam-USV,48709.8000,38794.3500
Cambodia,42592.0000,5855.6842
Nicaragua,41482.5000,17267.7667
Poland,35290.8095,5843.4762
Thailand,34202.7895,15852.8421
Germany,31467.2406,3313.0000
Peru,31429.7778,530.0370
Iran,30678.8182,4224.3182
Taiwan,30591.6346,10418.2308
Dominican-Republic,30498.1857,3711.3857
Vietnam,29632.5781,5413.9219
Hungary,28904.4667,19863.6667
South,28569.2692,4190.3590
Jamaica,27571.6049,5397.5185
Japan,27363.3651,5061.3968
Ecuador,26007.4138,7402.2414
Laos,25827.4500,13753.5500
Mexico,25461.6572,1067.0449
France,25097.9677,11870.2903
?,24118.4588,978.4875
United-States,23849.5765,504.1507
Portugal,23723.6579,7476.6053
Columbia,22490.2623,2699.8197
Philippines,21331.7062,2587.9948
Cuba,21219.9053,700.5789
Scotland,20088.0000,10240.4167
Canada,19926.0862,2438.1207
England,19561.4483,3337.8851
Greece,19021.0000,13105.0303
Italy,18304.0833,969.5972
Hong,18250.0000,9677.2381
Honduras,17160.7692,8300.1538
Puerto-Rico,17128.8796,58.2963
Guatemala,14719.5932,2253.5593
El-Salvador,14596.3402,2690.2680
Ireland,13844.3200,11110.5600
Trinadad&Tobago,11181.5000,234.7778
NATIVE,0.0000,0.0000
