Native,sum(capitalgains),sum(capitalloss)
United-States,634088690,13403855
Mexico,15302456,641294
?,13458100,545996
China,10105927,9657852
India,10052751,9289509
Germany,4185143,440629
Philippines,4138351,502071
Haiti,2329807,390171
Canada,2311426,282822
Jamaica,2233300,437199
South,2228403,326848
Poland,2223321,368139
Dominican-Republic,2134873,259797
Cuba,2015891,66555
Vietnam,1896485,346491
Puerto-Rico,1849919,6296
Japan,1723892,318868
England,1701846,290396
Taiwan,1590765,541748
El-Salvador,1415845,260956
Columbia,1371906,164689
Iran,1349868,185870
Italy,1317894,69811
Nicaragua,1244475,518033
Outlying-US(Guam-USV,974196,775887
Yugoslavia,916009,361718
Portugal,901499,284111
Guatemala,868456,132960
Peru,848604,14311
Cambodia,809248,111258
France,778037,367979
Ecuador,754215,214665
Thailand,649853,301204
Greece,627693,432466
Laos,516549,275071
Hungary,433567,297955
Hong,383250,203222
Ireland,346108,277764
Scotland,241056,122885
Holand-Netherlands,239193,368278
Honduras,223090,107902
Trinadad&Tobago,201267,4226
NATIVE,0,0
